,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ROYAL BANK OF CANADA,0.0,5.923524613396343e-19,0.0051276551081649545,0.0,0.0,6.6415622004234006e-18,3.9903331498912055e-19,5.676655196017001e-18,0.0,1.0410486611397906e-18,1.4408598145282795e-18,4.2408159659384785e-19,0.0,2.2165352974818027e-18,0.0,2.0430303072097206e-18,1.8217158103077892e-18,0.0
SNC-LAVALIN GP.,5.979740679416333e-19,0.0,1.1493418297988047e-18,1.2083062701559051e-18,0.0,0.0,5.0767295260575505e-18,6.920839696443885e-18,0.0,0.0,0.0,0.0,0.0,3.647364420874872e-19,8.389806494913893e-21,1.2838712893653497e-18,0.0,1.6648039744956695e-19
SAPUTO,6.999840771307208e-19,1.8154492211213055e-18,0.0,0.004474508435971227,3.782257372813604e-05,0.00013137369498712894,0.0,0.0,0.0,0.0,2.2391016580288256e-19,0.0,3.7614220051096783e-19,0.0004613543534093059,0.0,0.017088825309637585,0.01515622739282317,0.0
SHAW COMMS.'B' DEAD - DELIST.05/04/23,2.349994358809294e-18,0.0,0.0,3.476508345388522e-19,2.8234306069884703e-18,4.732305986720756e-19,0.0,1.3703939779325476e-18,7.876821369017017e-19,0.0,0.0,0.0,8.480085060034985e-19,0.0,0.0,3.1943396496254157e-18,0.0,0.0
SHERRITT INTL.RESTRCTD VTG,1.2188738848108019e-18,0.0,0.0,0.0,1.3962016273721622e-18,5.9988158816605666e-18,0.0,0.0,0.0,1.0340717311760512e-17,0.0,0.0,4.393284886845464e-20,6.735501558032334e-19,0.0,0.0,0.0,7.802041903178046e-19
STANTEC,4.934073016690974e-19,5.428886295874493e-19,1.7816302889822755e-18,0.0,0.0,0.0,6.293661983233294e-18,0.0,3.614415111442523e-19,2.598149732312788e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5690306187723937e-18
SUNCOR ENERGY,0.0006308681085402511,0.0,0.0,7.328147973168544e-19,4.393771379199458e-18,0.0,9.609730439877219e-18,0.0,2.702732845551943e-19,0.0,3.998768938532129e-19,4.3669874735831844e-18,1.2011019069791667e-18,0.0035113257232242206,6.348992420537165e-19,3.640411024154015e-18,0.0,0.0
SUNOPTA (NAS),4.831282938831757e-19,1.6978001371130667e-18,1.4852379061532613e-18,0.0,0.0,0.0,1.519862113067544e-17,0.0,0.0,2.5451064923556292e-18,1.308264005586926e-18,0.0,0.0,0.0,1.0912580345179827e-18,0.014493217448462395,1.0678816874236048e-18,1.8229029458588895e-19
TC ENERGY,1.377020859262441e-18,1.5766234951709323e-18,0.0,0.0,4.967895403858231e-18,4.2676809248802057e-19,5.230408303629569e-18,0.0,0.0,5.034505599144331e-19,0.0,1.1407975316196902e-18,0.0,5.005991528814839e-19,0.0,0.0,1.429612164654433e-18,0.0
TECK RESOURCES SUBORDINATE VOTING B,0.0,0.0,0.0,0.0,1.0319296545717894e-18,0.0,8.456873440718411e-18,0.0,0.0,4.8610547294642154e-18,0.0,7.541847933133957e-19,1.7037298055420238e-18,0.0,8.636810460463681e-19,2.8646854448337216e-18,0.0,0.0
